filename,method,location,sample,mode,magnification,magnification_value,ext,rel_path
EHD_nCAT_S1_CP_10x.tif,EHD,nCAT,S1,CP,10x,10.0,.tif,EHD_nCAT_S1_CP_10x.tif
EHD_nCAT_S2_CP_10x.tif,EHD,nCAT,S2,CP,10x,10.0,.tif,EHD_nCAT_S2_CP_10x.tif
EHD_nCAT_S3_CP_10x.tif,EHD,nCAT,S3,CP,10x,10.0,.tif,EHD_nCAT_S3_CP_10x.tif
EHD_nCAT_S4_CP_10x.tif,EHD,nCAT,S4,CP,10x,10.0,.tif,EHD_nCAT_S4_CP_10x.tif
PCM_BIU_glassLube_NA_10x.JPG,PCM,BIU,glassLube,NA,10x,10.0,.jpg,PCM_BIU_glassLube_NA_10x.JPG
PCM_BIU_S1_NA_10x.JPG,PCM,BIU,S1,NA,10x,10.0,.jpg,PCM_BIU_S1_NA_10x.JPG
PCM_BIU_S2_NA_10x.JPG,PCM,BIU,S2,NA,10x,10.0,.jpg,PCM_BIU_S2_NA_10x.JPG
PCM_BIU_S3_NA_10x.JPG,PCM,BIU,S3,NA,10x,10.0,.jpg,PCM_BIU_S3_NA_10x.JPG
PCM_BIU_S4_NA_10x.JPG,PCM,BIU,S4,NA,10x,10.0,.jpg,PCM_BIU_S4_NA_10x.JPG
PCM_BIU_thickLube_NA_10x.JPG,PCM,BIU,thickLube,NA,10x,10.0,.jpg,PCM_BIU_thickLube_NA_10x.JPG
PCM_BIU_Track_NA_10x.JPG,PCM,BIU,Track,NA,10x,10.0,.jpg,PCM_BIU_Track_NA_10x.JPG
PLM_BIU_Glass_CP_4x.jpg,PLM,BIU,Glass,CP,4x,4.0,.jpg,PLM_BIU_Glass_CP_4x.jpg
PLM_BIU_Glass_NA_4x.JPG,PLM,BIU,Glass,NA,4x,4.0,.jpg,PLM_BIU_Glass_NA_4x.JPG
PLM_BIU_Glass_WP_4x.jpg,PLM,BIU,Glass,WP,4x,4.0,.jpg,PLM_BIU_Glass_WP_4x.jpg
PLM_BIU_S1_CP_4x.jpg,PLM,BIU,S1,CP,4x,4.0,.jpg,PLM_BIU_S1_CP_4x.jpg
PLM_BIU_S1_WP_4x.jpg,PLM,BIU,S1,WP,4x,4.0,.jpg,PLM_BIU_S1_WP_4x.jpg
PLM_BIU_S2_CP_4x.jpg,PLM,BIU,S2,CP,4x,4.0,.jpg,PLM_BIU_S2_CP_4x.jpg
PLM_BIU_S2_WP_4x.jpg,PLM,BIU,S2,WP,4x,4.0,.jpg,PLM_BIU_S2_WP_4x.jpg
PLM_BIU_S3_CP_4x.jpg,PLM,BIU,S3,CP,4x,4.0,.jpg,PLM_BIU_S3_CP_4x.jpg
PLM_BIU_S3_WP_4x.jpg,PLM,BIU,S3,WP,4x,4.0,.jpg,PLM_BIU_S3_WP_4x.jpg
PLM_BIU_S4_CP_4x.jpg,PLM,BIU,S4,CP,4x,4.0,.jpg,PLM_BIU_S4_CP_4x.jpg
PLM_BIU_S4_Null_4x.jpg,PLM,BIU,S4,Null,4x,4.0,.jpg,PLM_BIU_S4_Null_4x.jpg
